user_id,user_uuid,prosthesis_type,muscle_group,signal_frequency,signal_duration,signal_amplitude,created_ts
512,6dc5cb46-29a7-43b9-9d6e-473ea878bda9,arm,Hamstrings,193,4250,3.89,2025-03-13 06:01:09
887,e00e9cb4-771c-4311-a1e5-fade2fdf3f9a,arm,Biceps,489,3702,4.46,2025-03-04 23:12:31
866,fdf4ded8-9ea1-42d9-8949-c85f8f08f34a,hand,Biceps,102,3630,4.49,2025-02-26 19:39:02
961,ee337701-38e6-4aea-8ed7-61c6ba8a6457,arm,Gastrocnemius,348,1146,2.87,2025-03-25 02:30:36
316,d1747350-dcf1-4f7d-9378-6f876b2f5262,arm,Hamstrings,169,3707,4.54,2025-03-08 00:25:59
779,01a9ce97-f711-4249-8103-4509de0d11e3,leg,Hamstrings,450,2041,1.2,2025-03-13 19:26:56
355,dfeffccc-7e5b-4a51-94eb-f989761e59cb,hand,Triceps,169,4708,2.56,2025-03-23 01:48:44
256,10cae605-08ba-4347-a98c-9032289151ef,leg,Gastrocnemius,88,721,2.18,2025-03-23 18:26:40
192,f11cb157-2204-476f-903a-31a4cadfbe6e,arm,Hamstrings,351,4162,4.77,2025-03-11 08:35:48
805,88f5d7a0-85bb-44c8-9063-6c34e339a41c,leg,Gastrocnemius,242,4173,1.61,2025-03-02 04:08:55
360,04012a78-7228-479e-9ee7-6db7c10e180d,arm,Biceps,76,4201,1.35,2025-03-03 07:28:38
924,0dbfb77e-1fb5-446b-a924-fb891345983b,hand,Hamstrings,181,3492,1.28,2025-03-10 04:27:15
173,9906bbea-e7e3-48b7-9484-b1048916294a,arm,Triceps,30,292,1.05,2025-03-09 19:17:01
197,3545cb53-6dd7-4a3b-9871-c8b62a62251e,hand,Gastrocnemius,471,4814,2.79,2025-03-12 10:55:35
514,9347bf8d-bc2e-444c-8fae-69490068064c,leg,Biceps,346,135,2.29,2025-03-02 05:57:56
131,46d00ef2-87a6-410d-84c4-e172e5db2480,leg,Biceps,111,3099,0.51,2025-03-01 20:23:48
479,086c6d75-3b91-42c7-adf8-9213ca20e635,leg,Hamstrings,117,2983,3.16,2025-02-27 16:03:04
449,2e568c9b-834b-4c4a-9173-4e78499a195f,leg,Biceps,364,989,0.91,2025-03-06 08:49:08
2,3b6ef5c6-7c3a-4e68-93dc-4a2539285a21,hand,Triceps,165,4963,2.64,2025-02-25 16:35:28
139,5dda309c-594d-4bf0-a04d-7d326678dba2,leg,Hamstrings,391,3105,2.06,2025-03-22 07:03:57
905,6830b416-4a54-4fb9-915b-0603e662a63a,arm,Gastrocnemius,108,3072,0.93,2025-03-19 01:23:24
749,177dc0d4-508d-4c4b-a728-a47121757e23,hand,Gastrocnemius,280,825,4.35,2025-03-04 06:26:51
113,5a17a29b-517a-4685-b8bb-071ad8421d7d,hand,Hamstrings,373,4467,0.66,2025-03-07 19:15:15
538,564e0245-f319-4203-bbf4-ae04a98c2db3,arm,Biceps,259,434,0.86,2025-03-16 17:00:39
770,5533cacf-71ab-4faa-a04b-cec67e93aa1e,hand,Quadriceps,431,2883,2.13,2025-03-02 08:44:16
411,1ac456ea-8fdc-4d69-9967-182abc97cb25,arm,Quadriceps,302,4778,3.57,2025-03-01 15:05:18
